rewards,ma_rewards
-1158.23131726061,-1158.23131726061
-1174.6151020522643,-1159.8696957397756
-1507.7393823663629,-1194.6566644024342
-1530.1861704335847,-1228.2096150055493
-1330.2296102413393,-1238.4116145291284
-1222.7756944564776,-1236.8480225218634
-1218.4220962957909,-1235.0054298992563
-919.095104420467,-1203.4143973513774
-960.799897036834,-1179.152947319923
-875.4780431293551,-1148.7854569008664
-1026.832021862962,-1136.590113397076
-1055.171596567036,-1128.448261714072
-1243.6081476909417,-1139.964250311759
-763.3174578353288,-1102.299571064116
-837.3356838131983,-1075.8031823390243
-666.3722159211417,-1034.860085697236
-716.3429430305985,-1003.0083714305722
-638.7780107165826,-966.5853353591733
-1344.344897115596,-1004.3612915348157
-646.0380495239827,-968.5289673337323
-862.5960185363429,-957.9356724539934
-520.5386482577254,-914.1959700343666
-507.9593947604063,-873.5723125069707
-506.7335559173169,-836.8884368480053
-517.81811448117,-804.9814046113218
-634.5818054185926,-787.9414446920489
-254.83713087998763,-734.6310133108428
-497.0517726638949,-710.873089246148
-370.87524709830296,-676.8733050313634
-661.5407681773323,-675.3400513459603
-498.89379455249554,-657.6954256666139
-253.25195971536465,-617.251079071489
-395.7258608460731,-595.0985572489475
-498.3963305626713,-585.4283345803199
-630.3516189695275,-589.9206630192407
-243.96654978439895,-555.3252516957565
-1001.2839174439132,-599.9211182705722
-131.24303081949446,-553.0533095254643
-257.20558111234124,-523.468536684152
-244.61164559592498,-495.5828475753293
-505.82346651454344,-496.6069094692507
-257.34707176114983,-472.6809256984406
-651.3717471049082,-490.55000783908736
-649.0876635028058,-506.4037734054592
-269.56809615022325,-482.72020567993565
-253.25471128955385,-459.7736562408975
-250.3692929027428,-438.833219907082
-244.9476392805248,-419.4446618444263
-390.69560335439934,-416.56975599542363
-127.6733204405353,-387.6801124399348
-124.78796884562081,-361.3908980805034
-367.58314970405,-362.01012324285807
-504.245817957203,-376.2336927142926
-375.41866340302425,-376.1521897831658
-447.80754841292173,-383.3177256461414
-512.3276143162253,-396.2187145131498
-120.24432653484759,-368.6212757153196
-376.0553349223957,-369.36468163602717
-614.9209748335347,-393.92031095577795
-378.10485347431904,-392.33876520763204
-331.111526087951,-386.21604129566396
-380.0288605672843,-385.597323222826
-509.59346397389305,-397.99693729793273
-372.0042643304267,-395.3976700011821
-248.29325410149409,-380.6872284112133
-247.75900626120026,-367.394406196212
-487.13170583689595,-379.3681361602804
-362.59123679864535,-377.69044622411695
-512.4530352357758,-391.1667051252829
-492.48979385010796,-401.29901399776537
-634.6496477529537,-424.6340773732842
-489.75602460320573,-431.14627209627633
-256.40891344060435,-413.67253623070917
-124.96244330174568,-384.80152693781287
-380.8944808482065,-384.41082232885225
-741.7650017251779,-420.1462402684848
-499.5758587101395,-428.0892021126503
-510.5672839148974,-436.337010292875
-478.8832534064411,-440.5916346042317
-308.2797885204706,-427.36044999585556
-379.721059804186,-422.5965109766886
-380.8178639094044,-418.4186462699602
-256.5095615679146,-402.22773779975563
-266.48493775680276,-388.6534577954603
-629.271020672182,-412.7152140831325
-251.7190808762286,-396.6156007624421
-378.1164317433906,-394.76568386053697
-380.29174138632527,-393.3182896131158
-758.2140951991396,-429.8078701717182
-591.1101834546203,-445.93810150000843
-470.4953867674471,-448.3938300267523
-325.5927316696124,-436.11372019103834
-507.0626691479013,-443.20861508672465
-577.6463030734387,-456.65238388539603
-372.7781740847459,-448.264962905331
-491.8725404346558,-452.6257206582635
-256.5820674408683,-433.021355336524
-599.331870671972,-449.6524068700688
-381.8647774373169,-442.8736439267936
-366.8832947881156,-435.2746090129258
-145.91272343458724,-406.338420455092
-248.12021749142514,-390.5166001587253
-518.3670734714709,-403.3016474899998
-255.2895375478415,-388.500436495784
-457.13956144434314,-395.36434899064
-843.172747180753,-440.14518880965136
-507.1001008615732,-446.84068001484354
-132.9508112011467,-415.4516931334739
-614.1353355404038,-435.3200573741669
-380.9720930758567,-429.88526094433587
-494.35079945546596,-436.3318147954489
-622.1992466956127,-454.9185579854653
-657.2847029902447,-475.1551724859433
-369.8050970394993,-464.62016494129887
-719.5349729145585,-490.1116457386248
-374.18380416692355,-478.5188615814547
-157.17090154320067,-446.3840655776293
-361.79987408858153,-437.9256464287245
-373.8352283354631,-431.5166046193984
-891.3212150900512,-477.49706566646364
-369.0417031449978,-466.65152941431705
-434.08931511987896,-463.3953079848733
-498.4892227684166,-466.90469946322764
-253.9848958614373,-445.6127191030486
-376.2343293036837,-438.67488012311213
-627.5211737763979,-457.55950948844077
-379.64970562945535,-449.76852910254223
-707.0381520814582,-475.4954914004339
-646.7345652100216,-492.61939878139265
-378.1343960885757,-481.17089851211097
-379.9806257076566,-471.0518712316656
-731.8687994123827,-497.1335640497373
-383.03636368373145,-485.7238440131367
-630.3117590525636,-500.1826355170794
-511.9574312273317,-501.36011508810464
-495.70012697990353,-500.79411627728456
-262.3132464832216,-476.9460292978782
-620.0604539866209,-491.2574717667525
